digg_count,comment_count
1623545,36206
69134,2034
8528,225
26389,3574
53879,410
4520,41
2134,57
267280,2816
38246,2052
31669,703
51917,5022
8744,377
134752,7552
84960,1407
49610,1738
154192,6952
310221,199
11902,354
1234867,30002
39157,482
7531,438
1026,187
16983,1695
13038,5351
58219,1908
158268,8526
13762,615
40801,2635
3068,277
1744,294
41313,6333
1256,76
17902,163
8046,848
6968,3011
3437,79
1200,261
24104,872
57006,269
86377,444
3360,689
46825,1141
3867,83
9381,680
74079,43
11081,117
1014,140
2459,141
14254,3486
5615,308
11242,187
35843,73
207009,9819
52807,2003
165262,2791
28981,3451
6110,873
94311,13453
19478,3600
1051,206
18990,76
2707,447
713699,89443
9018,2147
22658,1379
313324,4099
84750,1476
163469,1387
128600,8833
6643,0
6446,1215
9557,186
18359,940
49960,3948
26068,781
173000,159
7208,124
11347,537
8967,94
1082,54
3378,1277
23097,1391
2985,265
9463,3350
198835,5412
95591,7511
52241,1463
11233,488
3424,516
4054,209
14671,812
18676,403
105684,1245
5719,198
68950,4608
100131,14064
39256,7705
6515,295
80768,5220
49917,2922
8106,132
27024,1391
957893,257
120191,18567
15817,858
2683,119
29269,2134
241373,10505
44451,3405
9565,250
1803,77
1050,109
109013,49942
2125,38
25019,40
2130,36
52156,3350
36926,180
79005,4428
3770,82
1586,64
14698,59
17483,94
1629,84
6191,240
30842,944
1443,38
71802,7262
15153,514
53925,1196
3161,343
10134,242
2133,124
8088,236
7716,288
4554,596
12307,799
60239,3714
44181,106
75380,3669
3357,101
69474,175
42173,2894
14022,211
2849,101
1497,204
2024,51
5391,244
155849,3279
63620,858
56516,1515
61444,608
189718,8402
22835,189
4075,314
10742,115
20062,353
150807,206
31946,456
123728,1595
55134,10811
49071,1542
379827,36248
2147,358
1403,136
53041,409
6088,645
273025,5526
16540,109
30231,487
1821,21
86001,8049
67753,4691
22767,801
3682,174
2157,95
945853,5364
1502,379
8767,255
105904,3306
168517,5399
36213,1567
1305,486
16985,402
27650,9070
3190,160
45918,4339
35267,720
37673,848
13277,721
13407,47
13520,1080
5057,35
6240,1121
49045,2020
18701,208
18840,163
9477,533
12847,470
2821,414
81440,149
4793,1809
10443,449
184581,21186
134818,195
105569,11988
4091,44
15995,142
51964,7200
7668,968
82804,1030
20338,744
1713588,29864
159871,1564
1469,224
54837,717
13799,294
35458,3376
2235,194
163113,8664
57833,1892
9272,220
2420,102
2682,175
59076,1736
14602,970
6487,315
281494,12186
209421,4401
41465,7320
4772,446
106894,4269
6645,123
1142,51
2786,131
12078,435
318476,37478
6696,638
15159,387
91147,2786
18712,280
8559,104
194000,20467
1912,24
5972,330
56757,673
8954,3308
30798,142
117586,86
18264,595
108728,3543
15145,652
8065,325
422917,4823
8738,291
89422,181
19755,1257
344535,15622
4249,116
3061,53
12350,759
4673,312
4567,254
8766,782
5850,106
73330,822
209837,13962
35662,73
1931,115
2363,139
103020,1678
2632,437
46246,751
1301483,37154
10220,3793
4002,327
219393,13113
24052,225
7717,380
1015492,18684
21939,373
25561,1205
81843,5769
40312,1942
38991,337
29964,4435
5178,676
39939,5443
6664,182
9476,79
10115,1226
152649,241
40718,1239
21706,102
14118,916
12073,935
61377,112
13230,1412
41241,1825
26143,1637
204651,23584
69246,3805
132301,1166
7760,730
139866,5111
1476617,65511
6427,597
39144,236
16319,361
102566,1317
63277,5674
160294,245
50453,712
23504,502
30334,603
109415,5213
30043,1861
9938,401
81697,357
6719,17
348708,43504
5808,122
3398,1081
3346,150
15633,46
2446,7
7763,898
25084,1506
4784,811
17561,139
201041,2209
4783,348
15757,353
136237,1868
10740,259
25300,262
305368,211
5856,383
30422,129
27271,213
23961,793
8160,325
19057,146
73276,155
105220,5982
140449,832
9305,1083
4009,40
32367,383
71604,164
53451,1469
1836,26
28285,296
50039,482
25807,1927
5613,239
30457,783
4490,1139
3332,430
120197,27064
18713,1839
26827,471
157060,5248
14473,126
2891,10
11904,403
48306,557
37560,219
5865,40
54067,255
84479,2487
8392,172
14179,600
10395,67
2257,91
15337,126
7145,306
97913,2571
36467,74
21137,184
10596,359
179288,122
14693,99
13642,197
14647,171
59183,1374
3739,122
116917,1007
113191,1002
110097,1853
2808,33
745760,6663
18209,858
128783,2354
11202,682
5878,103
17134,1865
14610,1624
30737,893
21321,128
44891,260
25895,1270
457642,40798
15834,94
7532,112
25747,74
3976,56
80720,13326
16939,119
78905,1122